indicator_code,indicator,domain,unit,better_direction,indicator_type,frequency,country_count,dataset_first_year,dataset_last_year,australia_first_year,australia_last_year,australia_row_count,australia_independent_period_count,status_codes_present,definitions_pdf_pages,comparability_caveat
11_1,Life satisfaction,Subjective well-being,0-10 scale,higher,country average,sparse survey years,37,2010,2025,2019.0,2020.0,2,2,A;B;D;E,26-27,"Question wording, scale anchors, sampled ages, and survey methods differ across countries; only two Australian observations are supplied."
11_2,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over,lower,deprivation,3-year pooled survey windows,47,2010,2025,2010.0,2025.0,16,6,A,27-28,"Gallup samples about 1,000 people per country per year; displayed annual rows repeat pooled 3-year estimates and must not be treated as independent yearly observations."
1_1,Households and NPISHs net adjusted disposable income per capita,Income and wealth,"US dollars per person, PPP converted",higher,country average,annual,37,2010,2025,2010.0,2024.0,15,15,A;B;E;P,3,National-accounts income includes social transfers in kind and capital consumption; PPP conversion supports level comparison but is not a cash-income measure.
1_2,Top average household disposable income quintile,Income and wealth,Factor of lowest income quintile,lower,vertical inequality,irregular/periodic,42,2010,2025,2012.0,2020.0,5,5,A;P,4,Household survey or administrative sources differ; both tails of the income distribution can be under-covered or under-reported.
1_3,Median net wealth,Income and wealth,"US dollars per household, PPP converted",higher,country average and vertical inequality,irregular/periodic,31,2010,2023,2012.0,2020.0,4,4,A;B;D,4-5,"Per-household median excludes private and occupational pensions, is not adjusted for household size, and countries use different CPI classifications."
2_1,Employment rate,Work and job quality,Percentage of population aged 25-64 years,higher,country average,annual,47,2010,2025,2010.0,2025.0,16,16,A,7,"Employment means at least one hour of paid work in the reference week; it measures jobholding, not hours, pay, security, or job quality."
2_2,Gender wage gap,Work and job quality,Percentage of wages of men in the same decile,lower,horizontal inequality,annual/irregular,44,2010,2024,2010.0,2024.0,15,15,A,7-8,The unadjusted gap compares median wages of full-time employees; it does not isolate discrimination and excludes differences driven by employment participation or hours.
2_7,Long hours in paid work,Work and job quality,Percentage of employees,lower,deprivation,annual,43,2010,2025,2010.0,2025.0,16,16,A,10-11,Threshold-based employee measure; working-time definitions and self-reporting can differ across labour-force surveys.
3_1,Households living in overcrowded conditions,Housing,Percentage of households,lower,deprivation,irregular/periodic,38,2010,2024,,,0,0,A;B;D,12,Survey coverage differs and several countries lack information on subsidised tenants; household composition affects the overcrowding definition.
3_2,Housing affordability,Housing,Percentage of household gross adjusted disposable income,higher,country average,annual,40,2010,2025,2010.0,2024.0,15,15,A;E;P,12-13,A national-accounts average including imputed owner-occupier rent; it can look stable while renters or low-income households face severe stress. Countries use different COICOP versions.
4_1,Time off,Work-life balance,Hours per day,higher,country average,irregular/periodic,14,2010,2022,,,0,0,A,14,"Time-use surveys differ in survey year, diary design, population coverage, and treatment of simultaneous activities."
4_3,Gender gap in working hours,Work-life balance,Minutes per day,lower,horizontal inequality,irregular/periodic,16,2010,2022,,,0,0,A;B;E,14-15,"Derived from time-use surveys with sparse, non-aligned years; the sign and composition of paid/unpaid work gaps matter, not only magnitude."
5_1,Life expectancy at birth,Health,Years,higher,country average,annual,47,2010,2024,2010.0,2023.0,14,14,A;B;E,16,Period life expectancy applies current age-specific mortality rates to a hypothetical cohort; it is not the predicted lifespan of babies born that year.
5_3,"Deaths from suicide, alcohol, drugs",Health,Deaths per 100 000 inhabitants,lower,deprivation,annual,46,2010,2024,2010.0,2024.0,15,15,A,17,"Cause-of-death coding and registration practices can differ; the combined outcome hides distinct trends in suicide, alcohol, and drugs."
6_2,Student mathematics skills,Knowledge and skills,Points,higher,country average,PISA cycle,39,2012,2022,2012.0,2022.0,4,4,A,19-20,"PISA covers enrolled 15-year-olds, excluding school dropouts and home-schooled students; cycles are not annual and composition/testing conditions can change."
7_1_DEP,Lack of social support,Social connections,Percentage of population aged 15 years or over,lower,deprivation,3-year pooled survey windows,47,2010,2025,2010.0,2025.0,16,6,A,21,"Gallup samples about 1,000 people per country per year; displayed annual rows repeat pooled 3-year estimates and must not be treated as independent yearly observations."
7_2,Time spent in social interactions,Social connections,Hours per week,higher,country average,time-use survey waves,16,2010,2023,,,0,0,A,21-22,Counts social interaction only when it is the primary activity; survey years and diary methods differ and simultaneous interaction is omitted.
8_1_DEP,Not having a say in government,Civic engagement,Percentage of population aged 16-65 years,lower,deprivation,survey waves,32,2021,2023,2021.0,2023.0,2,2,A,23,"OECD Trust Survey waves are sparse; this is perceived political voice, not an institutional measure of democratic quality."
8_2,Voter turnout,Civic engagement,Percentage of votes,higher,country average,election-based,47,2010,2026,2010.0,2025.0,6,6,A,23,Years reflect different election cycles and election types; compulsory voting in Australia and several peers makes turnout levels structurally non-comparable.
9_2,Exposed to air pollution,Environmental quality,Percentage of population,lower,country average,annual to 2020,46,2010,2020,2010.0,2020.0,11,11,A,24,A threshold share above 5 micrograms/m3 can saturate near 100% and conceal meaningful differences in pollution concentration.
9_3,Exposure to extreme temperature,Environmental quality,Percentage of population,lower,country average,annual,47,2010,2024,2010.0,2024.0,15,15,A,25,Climate and geography create structural cross-country differences; annual extremes are volatile and should not be interpreted from a single year.
